adv_step: 1160, nll_gen: 0.7258, bleu2: 0.7643, bleu3: 0.5470, bleu4: 0.3496, bleu5: 0.2160
adv_step: 1180, nll_gen: 0.7255, bleu2: 0.7488, bleu3: 0.5214, bleu4: 0.3282, bleu5: 0.2015
adv_step: 1200, nll_gen: 0.7253, bleu2: 0.7512, bleu3: 0.5327, bleu4: 0.3387, bleu5: 0.2195
adv_step: 1220, nll_gen: 0.7251, bleu2: 0.7617, bleu3: 0.5393, bleu4: 0.3348, bleu5: 0.2087
adv_step: 1240, nll_gen: 0.7250, bleu2: 0.7703, bleu3: 0.5478, bleu4: 0.3475, bleu5: 0.2187
adv_step: 1260, nll_gen: 0.7247, bleu2: 0.7605, bleu3: 0.5333, bleu4: 0.3313, bleu5: 0.2068
adv_step: 1280, nll_gen: 0.7245, bleu2: 0.7456, bleu3: 0.5124, bleu4: 0.3288, bleu5: 0.2061
adv_step: 1300, nll_gen: 0.7244, bleu2: 0.7641, bleu3: 0.5362, bleu4: 0.3422, bleu5: 0.2201
adv_step: 1320, nll_gen: 0.7241, bleu2: 0.7476, bleu3: 0.5106, bleu4: 0.3253, bleu5: 0.2070
adv_step: 1340, nll_gen: 0.7239, bleu2: 0.7649, bleu3: 0.5582, bleu4: 0.3545, bleu5: 0.2239
adv_step: 1360, nll_gen: 0.7238, bleu2: 0.7683, bleu3: 0.5356, bleu4: 0.3449, bleu5: 0.2168
adv_step: 1380, nll_gen: 0.7235, bleu2: 0.7610, bleu3: 0.5507, bleu4: 0.3612, bleu5: 0.2367
adv_step: 1400, nll_gen: 0.7234, bleu2: 0.7622, bleu3: 0.5429, bleu4: 0.3435, bleu5: 0.2164
adv_step: 1420, nll_gen: 0.7233, bleu2: 0.7639, bleu3: 0.5377, bleu4: 0.3278, bleu5: 0.2002
adv_step: 1440, nll_gen: 0.7232, bleu2: 0.7739, bleu3: 0.5446, bleu4: 0.3466, bleu5: 0.2152
adv_step: 1460, nll_gen: 0.7230, bleu2: 0.7717, bleu3: 0.5449, bleu4: 0.3430, bleu5: 0.2140
adv_step: 1480, nll_gen: 0.7228, bleu2: 0.7658, bleu3: 0.5432, bleu4: 0.3466, bleu5: 0.2108
adv_step: 1500, nll_gen: 0.7227, bleu2: 0.7464, bleu3: 0.5222, bleu4: 0.3327, bleu5: 0.2106
adv_step: 1520, nll_gen: 0.7227, bleu2: 0.7698, bleu3: 0.5576, bleu4: 0.3543, bleu5: 0.2218
adv_step: 1540, nll_gen: 0.7225, bleu2: 0.7592, bleu3: 0.5294, bleu4: 0.3260, bleu5: 0.1981
adv_step: 1560, nll_gen: 0.7223, bleu2: 0.7606, bleu3: 0.5419, bleu4: 0.3516, bleu5: 0.2207
adv_step: 1580, nll_gen: 0.7224, bleu2: 0.7517, bleu3: 0.5295, bleu4: 0.3363, bleu5: 0.2075
adv_step: 1600, nll_gen: 0.7224, bleu2: 0.7510, bleu3: 0.5424, bleu4: 0.3336, bleu5: 0.2036
adv_step: 1620, nll_gen: 0.7223, bleu2: 0.7540, bleu3: 0.5481, bleu4: 0.3557, bleu5: 0.2231
adv_step: 1640, nll_gen: 0.7222, bleu2: 0.7515, bleu3: 0.5279, bleu4: 0.3310, bleu5: 0.2077
adv_step: 1660, nll_gen: 0.7221, bleu2: 0.7637, bleu3: 0.5390, bleu4: 0.3459, bleu5: 0.2211
adv_step: 1680, nll_gen: 0.7220, bleu2: 0.7682, bleu3: 0.5484, bleu4: 0.3694, bleu5: 0.2282
adv_step: 1700, nll_gen: 0.7218, bleu2: 0.7449, bleu3: 0.5180, bleu4: 0.3284, bleu5: 0.2051
adv_step: 1720, nll_gen: 0.7218, bleu2: 0.7648, bleu3: 0.5424, bleu4: 0.3373, bleu5: 0.2052
adv_step: 1740, nll_gen: 0.7217, bleu2: 0.7600, bleu3: 0.5285, bleu4: 0.3263, bleu5: 0.2046
adv_step: 1760, nll_gen: 0.7216, bleu2: 0.7507, bleu3: 0.5150, bleu4: 0.3189, bleu5: 0.2015
adv_step: 1780, nll_gen: 0.7214, bleu2: 0.7655, bleu3: 0.5408, bleu4: 0.3419, bleu5: 0.2188
adv_step: 1800, nll_gen: 0.7210, bleu2: 0.7650, bleu3: 0.5341, bleu4: 0.3392, bleu5: 0.2148
adv_step: 1820, nll_gen: 0.7208, bleu2: 0.7522, bleu3: 0.5379, bleu4: 0.3498, bleu5: 0.2244
adv_step: 1840, nll_gen: 0.7207, bleu2: 0.7419, bleu3: 0.5122, bleu4: 0.3340, bleu5: 0.2091
adv_step: 1860, nll_gen: 0.7205, bleu2: 0.7616, bleu3: 0.5393, bleu4: 0.3376, bleu5: 0.2078
adv_step: 1880, nll_gen: 0.7206, bleu2: 0.7470, bleu3: 0.5195, bleu4: 0.3235, bleu5: 0.2018
adv_step: 1900, nll_gen: 0.7206, bleu2: 0.7579, bleu3: 0.5319, bleu4: 0.3360, bleu5: 0.2084
adv_step: 1920, nll_gen: 0.7204, bleu2: 0.7738, bleu3: 0.5471, bleu4: 0.3493, bleu5: 0.2215
adv_step: 1940, nll_gen: 0.7203, bleu2: 0.7523, bleu3: 0.5468, bleu4: 0.3570, bleu5: 0.2290
adv_step: 1960, nll_gen: 0.7203, bleu2: 0.7585, bleu3: 0.5397, bleu4: 0.3425, bleu5: 0.2206
adv_step: 1980, nll_gen: 0.7204, bleu2: 0.7381, bleu3: 0.5083, bleu4: 0.3142, bleu5: 0.1911
