epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
980,0.721,0.7738,0.5539,0.3727,0.2377
1000,0.7206,0.7632,0.533,0.3514,0.2351
1020,0.7203,0.7535,0.5353,0.345,0.214
1040,0.7201,0.7771,0.5678,0.3619,0.2213
1060,0.7198,0.7589,0.5432,0.3498,0.2237
1080,0.7195,0.7654,0.5456,0.3611,0.2344
1100,0.7193,0.7713,0.5627,0.3628,0.2273
1120,0.719,0.7649,0.5552,0.3689,0.2415
1140,0.7189,0.7679,0.5461,0.3595,0.2338
1160,0.7189,0.7905,0.5777,0.3805,0.241
1180,0.7187,0.7481,0.5288,0.3384,0.215
1200,0.7186,0.7561,0.5199,0.3327,0.2171
1220,0.7182,0.7648,0.5432,0.3442,0.2203
1240,0.7181,0.7538,0.539,0.3508,0.225
1260,0.718,0.7665,0.5482,0.3577,0.2296
1280,0.718,0.7812,0.5786,0.3775,0.2402
1300,0.7179,0.7605,0.5497,0.3654,0.2372
1320,0.7177,0.7692,0.5529,0.3569,0.2279
1340,0.7175,0.7716,0.5496,0.3515,0.2213
1360,0.7173,0.7571,0.5369,0.3346,0.2013
1380,0.7176,0.7711,0.5482,0.353,0.2256
1400,0.7176,0.7747,0.5392,0.3478,0.2226
1420,0.7175,0.7813,0.5612,0.3612,0.2315
1440,0.7175,0.7603,0.5312,0.3325,0.2035
1460,0.7176,0.7672,0.5528,0.3538,0.222
1480,0.7176,0.7688,0.5639,0.3665,0.2366
1500,0.7174,0.7644,0.5521,0.3508,0.2256
1520,0.7176,0.758,0.5338,0.3509,0.2344
1540,0.7178,0.7741,0.5599,0.3646,0.2388
1560,0.7179,0.7312,0.5048,0.3312,0.2085
1580,0.718,0.7521,0.5117,0.3216,0.2062
1600,0.718,0.7726,0.5602,0.3646,0.2303
1620,0.718,0.7566,0.5212,0.3265,0.208
1640,0.7178,0.7522,0.5248,0.3319,0.211
1660,0.7179,0.7445,0.5189,0.3376,0.2213
1680,0.7182,0.743,0.5158,0.3389,0.2199
1700,0.7186,0.7446,0.5225,0.3338,0.2163
1720,0.7188,0.7594,0.5457,0.3463,0.2245
1740,0.7189,0.747,0.5036,0.3203,0.2026
1760,0.7189,0.7694,0.5515,0.3529,0.225
1780,0.719,0.7699,0.5396,0.3347,0.2187
1800,0.7191,0.7529,0.5482,0.3533,0.2363
1820,0.7191,0.7575,0.5246,0.3419,0.217
1840,0.719,0.7727,0.5539,0.3669,0.2374
1860,0.7191,0.7535,0.5163,0.334,0.2152
1880,0.7191,0.7834,0.5594,0.3741,0.2375
1900,0.7193,0.7601,0.549,0.3641,0.2476
1920,0.7193,0.7594,0.5259,0.3313,0.214
1940,0.7195,0.7624,0.5354,0.3411,0.2217
1960,0.7197,0.7783,0.5552,0.3595,0.2231
1980,0.7199,0.7605,0.5398,0.345,0.2258
