epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
640,0.7122,0.7774,0.573,0.3789,0.2388
660,0.7118,0.7824,0.5845,0.3767,0.2308
680,0.7114,0.7726,0.5619,0.365,0.2262
700,0.7112,0.7688,0.5491,0.3564,0.224
720,0.7111,0.7765,0.5652,0.3667,0.2246
740,0.7108,0.7689,0.5579,0.3664,0.2298
760,0.7104,0.7939,0.5893,0.3865,0.2424
780,0.7102,0.7929,0.5787,0.3809,0.2404
800,0.7101,0.7623,0.5601,0.3609,0.2264
820,0.7099,0.7799,0.5776,0.3824,0.2448
840,0.7097,0.7698,0.5657,0.3717,0.2316
860,0.7095,0.7504,0.5385,0.3493,0.2215
880,0.7092,0.744,0.5228,0.3382,0.2163
900,0.7091,0.7615,0.5331,0.351,0.2297
920,0.7091,0.7811,0.554,0.3577,0.2294
940,0.7088,0.7611,0.5476,0.357,0.2222
960,0.7083,0.7563,0.5209,0.3323,0.2102
980,0.7081,0.7791,0.5761,0.3811,0.2404
1000,0.7079,0.7785,0.558,0.362,0.2233
1020,0.7075,0.7811,0.5676,0.3762,0.2371
1040,0.7073,0.7741,0.5537,0.3661,0.2341
1060,0.7072,0.7655,0.547,0.3409,0.2185
1080,0.707,0.7431,0.5116,0.3208,0.1975
1100,0.7069,0.7706,0.5447,0.3623,0.2353
1120,0.7068,0.7822,0.5671,0.3778,0.2512
1140,0.7068,0.763,0.5499,0.3605,0.2345
1160,0.7067,0.7687,0.5544,0.3696,0.2341
1180,0.7065,0.7544,0.5221,0.3364,0.2117
1200,0.7063,0.767,0.5476,0.3642,0.2421
1220,0.7062,0.7886,0.5791,0.3918,0.2477
1240,0.7061,0.7726,0.5507,0.368,0.2392
1260,0.706,0.7663,0.5413,0.3441,0.2186
1280,0.7058,0.7666,0.5419,0.3469,0.2175
1300,0.7058,0.7701,0.5565,0.3553,0.2273
1320,0.7057,0.7555,0.5303,0.3517,0.2271
1340,0.7058,0.754,0.5178,0.3219,0.2026
1360,0.7056,0.7762,0.5674,0.3724,0.2403
1380,0.7055,0.7866,0.5803,0.3858,0.251
1400,0.7055,0.769,0.5493,0.369,0.2392
1420,0.7056,0.7736,0.5618,0.3655,0.2351
1440,0.7058,0.7639,0.5384,0.3462,0.2182
1460,0.7058,0.7743,0.5536,0.3534,0.2183
1480,0.7055,0.7495,0.5182,0.3316,0.2116
1500,0.7055,0.7606,0.5307,0.3476,0.2255
1520,0.7054,0.7703,0.5529,0.3556,0.227
1540,0.7052,0.7689,0.5523,0.363,0.235
1560,0.7052,0.7508,0.5381,0.354,0.2269
1580,0.7052,0.7858,0.5807,0.3891,0.2471
1600,0.7051,0.7674,0.5573,0.3651,0.2347
1620,0.7054,0.7607,0.5332,0.3463,0.2244
1640,0.7054,0.7707,0.5468,0.3573,0.2352
1660,0.7054,0.7663,0.5398,0.3481,0.227
1680,0.7054,0.7553,0.524,0.3163,0.1989
1700,0.7054,0.7538,0.5291,0.3402,0.219
1720,0.7053,0.7663,0.5504,0.3622,0.2421
1740,0.7054,0.787,0.5773,0.3873,0.2459
1760,0.7054,0.7634,0.5547,0.367,0.2385
1780,0.7054,0.7748,0.5595,0.3632,0.2369
1800,0.7055,0.7506,0.5192,0.3289,0.2036
1820,0.7056,0.7754,0.552,0.3648,0.2337
1840,0.7055,0.7592,0.5372,0.3462,0.216
1860,0.7056,0.7733,0.56,0.3751,0.2475
1880,0.7059,0.7564,0.5309,0.3469,0.2221
1900,0.7061,0.7611,0.5293,0.333,0.2168
1920,0.7062,0.7775,0.5528,0.3669,0.2413
1940,0.7062,0.7892,0.5739,0.378,0.2444
1960,0.7063,0.7773,0.5664,0.3785,0.2491
1980,0.7063,0.7588,0.5362,0.3458,0.2181
