adv_step: 980, nll_gen: 0.7382, bleu2: 0.7592, bleu3: 0.5384, bleu4: 0.3480, bleu5: 0.2147
adv_step: 1000, nll_gen: 0.7378, bleu2: 0.7814, bleu3: 0.5630, bleu4: 0.3536, bleu5: 0.2177
adv_step: 1020, nll_gen: 0.7376, bleu2: 0.7703, bleu3: 0.5457, bleu4: 0.3490, bleu5: 0.2250
adv_step: 1040, nll_gen: 0.7370, bleu2: 0.7620, bleu3: 0.5332, bleu4: 0.3322, bleu5: 0.2070
adv_step: 1060, nll_gen: 0.7369, bleu2: 0.7709, bleu3: 0.5528, bleu4: 0.3426, bleu5: 0.2137
adv_step: 1080, nll_gen: 0.7367, bleu2: 0.7631, bleu3: 0.5288, bleu4: 0.3288, bleu5: 0.2044
adv_step: 1100, nll_gen: 0.7362, bleu2: 0.7693, bleu3: 0.5482, bleu4: 0.3541, bleu5: 0.2268
adv_step: 1120, nll_gen: 0.7361, bleu2: 0.7620, bleu3: 0.5346, bleu4: 0.3337, bleu5: 0.2051
adv_step: 1140, nll_gen: 0.7360, bleu2: 0.7617, bleu3: 0.5428, bleu4: 0.3469, bleu5: 0.2144
adv_step: 1160, nll_gen: 0.7358, bleu2: 0.7735, bleu3: 0.5523, bleu4: 0.3615, bleu5: 0.2344
adv_step: 1180, nll_gen: 0.7357, bleu2: 0.7540, bleu3: 0.5218, bleu4: 0.3336, bleu5: 0.2062
adv_step: 1200, nll_gen: 0.7353, bleu2: 0.7729, bleu3: 0.5332, bleu4: 0.3393, bleu5: 0.2096
adv_step: 1220, nll_gen: 0.7350, bleu2: 0.7718, bleu3: 0.5519, bleu4: 0.3525, bleu5: 0.2225
adv_step: 1240, nll_gen: 0.7348, bleu2: 0.7650, bleu3: 0.5282, bleu4: 0.3336, bleu5: 0.2094
adv_step: 1260, nll_gen: 0.7347, bleu2: 0.7586, bleu3: 0.5315, bleu4: 0.3307, bleu5: 0.2036
adv_step: 1280, nll_gen: 0.7344, bleu2: 0.7919, bleu3: 0.5820, bleu4: 0.3825, bleu5: 0.2423
adv_step: 1300, nll_gen: 0.7341, bleu2: 0.7763, bleu3: 0.5562, bleu4: 0.3636, bleu5: 0.2317
adv_step: 1320, nll_gen: 0.7340, bleu2: 0.7639, bleu3: 0.5260, bleu4: 0.3388, bleu5: 0.2114
adv_step: 1340, nll_gen: 0.7338, bleu2: 0.7544, bleu3: 0.5161, bleu4: 0.3263, bleu5: 0.2074
adv_step: 1360, nll_gen: 0.7336, bleu2: 0.7597, bleu3: 0.5376, bleu4: 0.3478, bleu5: 0.2225
adv_step: 1380, nll_gen: 0.7336, bleu2: 0.7643, bleu3: 0.5441, bleu4: 0.3435, bleu5: 0.2121
adv_step: 1400, nll_gen: 0.7335, bleu2: 0.7403, bleu3: 0.5050, bleu4: 0.3194, bleu5: 0.1977
adv_step: 1420, nll_gen: 0.7335, bleu2: 0.7703, bleu3: 0.5462, bleu4: 0.3505, bleu5: 0.2255
adv_step: 1440, nll_gen: 0.7334, bleu2: 0.7596, bleu3: 0.5375, bleu4: 0.3369, bleu5: 0.2052
adv_step: 1460, nll_gen: 0.7334, bleu2: 0.7730, bleu3: 0.5496, bleu4: 0.3538, bleu5: 0.2269
adv_step: 1480, nll_gen: 0.7335, bleu2: 0.7426, bleu3: 0.5120, bleu4: 0.3253, bleu5: 0.2073
adv_step: 1500, nll_gen: 0.7337, bleu2: 0.7633, bleu3: 0.5355, bleu4: 0.3292, bleu5: 0.2082
adv_step: 1520, nll_gen: 0.7336, bleu2: 0.7625, bleu3: 0.5361, bleu4: 0.3468, bleu5: 0.2179
adv_step: 1540, nll_gen: 0.7335, bleu2: 0.7542, bleu3: 0.5201, bleu4: 0.3325, bleu5: 0.2074
adv_step: 1560, nll_gen: 0.7334, bleu2: 0.7543, bleu3: 0.5170, bleu4: 0.3204, bleu5: 0.2012
adv_step: 1580, nll_gen: 0.7331, bleu2: 0.7547, bleu3: 0.5299, bleu4: 0.3434, bleu5: 0.2215
adv_step: 1600, nll_gen: 0.7329, bleu2: 0.7453, bleu3: 0.5263, bleu4: 0.3458, bleu5: 0.2159
adv_step: 1620, nll_gen: 0.7330, bleu2: 0.7729, bleu3: 0.5508, bleu4: 0.3514, bleu5: 0.2209
adv_step: 1640, nll_gen: 0.7330, bleu2: 0.7496, bleu3: 0.5191, bleu4: 0.3301, bleu5: 0.2112
adv_step: 1660, nll_gen: 0.7330, bleu2: 0.7614, bleu3: 0.5396, bleu4: 0.3588, bleu5: 0.2377
adv_step: 1680, nll_gen: 0.7330, bleu2: 0.7573, bleu3: 0.5276, bleu4: 0.3317, bleu5: 0.2072
adv_step: 1700, nll_gen: 0.7330, bleu2: 0.7600, bleu3: 0.5389, bleu4: 0.3604, bleu5: 0.2286
adv_step: 1720, nll_gen: 0.7330, bleu2: 0.7470, bleu3: 0.5259, bleu4: 0.3316, bleu5: 0.2134
adv_step: 1740, nll_gen: 0.7329, bleu2: 0.7687, bleu3: 0.5430, bleu4: 0.3530, bleu5: 0.2263
adv_step: 1760, nll_gen: 0.7331, bleu2: 0.7613, bleu3: 0.5367, bleu4: 0.3409, bleu5: 0.2146
