adv_step: 960, nll_gen: 0.7217, bleu2: 0.7737, bleu3: 0.5501, bleu4: 0.3573, bleu5: 0.2230
adv_step: 980, nll_gen: 0.7215, bleu2: 0.7558, bleu3: 0.5291, bleu4: 0.3361, bleu5: 0.2123
adv_step: 1000, nll_gen: 0.7214, bleu2: 0.7633, bleu3: 0.5375, bleu4: 0.3341, bleu5: 0.2075
adv_step: 1020, nll_gen: 0.7212, bleu2: 0.7588, bleu3: 0.5316, bleu4: 0.3291, bleu5: 0.2049
adv_step: 1040, nll_gen: 0.7209, bleu2: 0.7709, bleu3: 0.5574, bleu4: 0.3632, bleu5: 0.2261
adv_step: 1060, nll_gen: 0.7208, bleu2: 0.7515, bleu3: 0.5120, bleu4: 0.3039, bleu5: 0.1874
adv_step: 1080, nll_gen: 0.7208, bleu2: 0.7544, bleu3: 0.5264, bleu4: 0.3290, bleu5: 0.1999
adv_step: 1100, nll_gen: 0.7210, bleu2: 0.7568, bleu3: 0.5348, bleu4: 0.3330, bleu5: 0.2084
adv_step: 1120, nll_gen: 0.7210, bleu2: 0.7631, bleu3: 0.5302, bleu4: 0.3438, bleu5: 0.2194
adv_step: 1140, nll_gen: 0.7209, bleu2: 0.7569, bleu3: 0.5380, bleu4: 0.3512, bleu5: 0.2217
adv_step: 1160, nll_gen: 0.7207, bleu2: 0.7420, bleu3: 0.5067, bleu4: 0.3159, bleu5: 0.1903
adv_step: 1180, nll_gen: 0.7202, bleu2: 0.7568, bleu3: 0.5218, bleu4: 0.3277, bleu5: 0.2059
adv_step: 1200, nll_gen: 0.7201, bleu2: 0.7771, bleu3: 0.5513, bleu4: 0.3585, bleu5: 0.2254
adv_step: 1220, nll_gen: 0.7197, bleu2: 0.7641, bleu3: 0.5445, bleu4: 0.3533, bleu5: 0.2248
adv_step: 1240, nll_gen: 0.7195, bleu2: 0.7574, bleu3: 0.5295, bleu4: 0.3266, bleu5: 0.2061
adv_step: 1260, nll_gen: 0.7195, bleu2: 0.7730, bleu3: 0.5481, bleu4: 0.3467, bleu5: 0.2156
adv_step: 1280, nll_gen: 0.7194, bleu2: 0.7551, bleu3: 0.5261, bleu4: 0.3314, bleu5: 0.2067
adv_step: 1300, nll_gen: 0.7191, bleu2: 0.7637, bleu3: 0.5340, bleu4: 0.3493, bleu5: 0.2193
adv_step: 1320, nll_gen: 0.7191, bleu2: 0.7483, bleu3: 0.5126, bleu4: 0.3232, bleu5: 0.2018
adv_step: 1340, nll_gen: 0.7191, bleu2: 0.7551, bleu3: 0.5326, bleu4: 0.3456, bleu5: 0.2207
adv_step: 1360, nll_gen: 0.7190, bleu2: 0.7543, bleu3: 0.5277, bleu4: 0.3360, bleu5: 0.2096
adv_step: 1380, nll_gen: 0.7187, bleu2: 0.7716, bleu3: 0.5652, bleu4: 0.3733, bleu5: 0.2340
adv_step: 1400, nll_gen: 0.7185, bleu2: 0.7591, bleu3: 0.5298, bleu4: 0.3344, bleu5: 0.2088
adv_step: 1420, nll_gen: 0.7184, bleu2: 0.7489, bleu3: 0.5237, bleu4: 0.3374, bleu5: 0.2072
adv_step: 1440, nll_gen: 0.7182, bleu2: 0.7494, bleu3: 0.5110, bleu4: 0.3244, bleu5: 0.1983
adv_step: 1460, nll_gen: 0.7179, bleu2: 0.7454, bleu3: 0.5236, bleu4: 0.3337, bleu5: 0.2076
adv_step: 1480, nll_gen: 0.7173, bleu2: 0.7609, bleu3: 0.5379, bleu4: 0.3463, bleu5: 0.2230
adv_step: 1500, nll_gen: 0.7169, bleu2: 0.7751, bleu3: 0.5492, bleu4: 0.3487, bleu5: 0.2203
adv_step: 1520, nll_gen: 0.7169, bleu2: 0.7451, bleu3: 0.5237, bleu4: 0.3283, bleu5: 0.2040
adv_step: 1540, nll_gen: 0.7168, bleu2: 0.7515, bleu3: 0.5243, bleu4: 0.3268, bleu5: 0.2004
adv_step: 1560, nll_gen: 0.7164, bleu2: 0.7355, bleu3: 0.5015, bleu4: 0.3127, bleu5: 0.1897
adv_step: 1580, nll_gen: 0.7163, bleu2: 0.7458, bleu3: 0.5178, bleu4: 0.3297, bleu5: 0.2108
adv_step: 1600, nll_gen: 0.7164, bleu2: 0.7612, bleu3: 0.5327, bleu4: 0.3421, bleu5: 0.2148
adv_step: 1620, nll_gen: 0.7163, bleu2: 0.7688, bleu3: 0.5587, bleu4: 0.3570, bleu5: 0.2190
adv_step: 1640, nll_gen: 0.7161, bleu2: 0.7529, bleu3: 0.5182, bleu4: 0.3385, bleu5: 0.2133
adv_step: 1660, nll_gen: 0.7159, bleu2: 0.7650, bleu3: 0.5516, bleu4: 0.3608, bleu5: 0.2361
adv_step: 1680, nll_gen: 0.7158, bleu2: 0.7594, bleu3: 0.5428, bleu4: 0.3538, bleu5: 0.2245
adv_step: 1700, nll_gen: 0.7160, bleu2: 0.7658, bleu3: 0.5350, bleu4: 0.3434, bleu5: 0.2153
adv_step: 1720, nll_gen: 0.7157, bleu2: 0.7547, bleu3: 0.5273, bleu4: 0.3310, bleu5: 0.2073
adv_step: 1740, nll_gen: 0.7157, bleu2: 0.7529, bleu3: 0.5189, bleu4: 0.3320, bleu5: 0.2060
adv_step: 1760, nll_gen: 0.7155, bleu2: 0.7460, bleu3: 0.5156, bleu4: 0.3282, bleu5: 0.2099
adv_step: 1780, nll_gen: 0.7155, bleu2: 0.7413, bleu3: 0.5021, bleu4: 0.3113, bleu5: 0.1946
adv_step: 1800, nll_gen: 0.7155, bleu2: 0.7476, bleu3: 0.5169, bleu4: 0.3272, bleu5: 0.2070
adv_step: 1820, nll_gen: 0.7153, bleu2: 0.7426, bleu3: 0.5154, bleu4: 0.3261, bleu5: 0.2085
adv_step: 1840, nll_gen: 0.7152, bleu2: 0.7612, bleu3: 0.5333, bleu4: 0.3413, bleu5: 0.2231
adv_step: 1860, nll_gen: 0.7151, bleu2: 0.7712, bleu3: 0.5470, bleu4: 0.3638, bleu5: 0.2296
adv_step: 1880, nll_gen: 0.7153, bleu2: 0.7527, bleu3: 0.5284, bleu4: 0.3374, bleu5: 0.2161
adv_step: 1900, nll_gen: 0.7152, bleu2: 0.7691, bleu3: 0.5420, bleu4: 0.3392, bleu5: 0.2124
adv_step: 1920, nll_gen: 0.7153, bleu2: 0.7552, bleu3: 0.5108, bleu4: 0.3177, bleu5: 0.1968
adv_step: 1940, nll_gen: 0.7152, bleu2: 0.7516, bleu3: 0.5253, bleu4: 0.3311, bleu5: 0.2148
adv_step: 1960, nll_gen: 0.7149, bleu2: 0.7582, bleu3: 0.5296, bleu4: 0.3411, bleu5: 0.2150
adv_step: 1980, nll_gen: 0.7147, bleu2: 0.7578, bleu3: 0.5308, bleu4: 0.3341, bleu5: 0.2072
