epoch, nll_gen, bleu2, bleu3, bleu4, bleu5
980, 2.1778, 0.7379, 0.4885, 0.2668, 0.1386
1000, 2.1770, 0.7364, 0.4841, 0.2672, 0.1430
1020, 2.1756, 0.7576, 0.4991, 0.2791, 0.1492
1040, 2.1746, 0.7373, 0.4842, 0.2627, 0.1432
1060, 2.1738, 0.7670, 0.5107, 0.2782, 0.1457
1080, 2.1729, 0.7481, 0.4864, 0.2656, 0.1432
1100, 2.1726, 0.7598, 0.5053, 0.2818, 0.1551
1120, 2.1724, 0.7498, 0.4825, 0.2660, 0.1448
1140, 2.1721, 0.7632, 0.4973, 0.2715, 0.1423
1160, 2.1717, 0.7438, 0.4844, 0.2561, 0.1347
1180, 2.1711, 0.7298, 0.4678, 0.2360, 0.1231
1200, 2.1704, 0.7433, 0.4821, 0.2645, 0.1386
1220, 2.1699, 0.7581, 0.4960, 0.2771, 0.1448
1240, 2.1692, 0.7508, 0.4902, 0.2632, 0.1341
1260, 2.1687, 0.7513, 0.4969, 0.2727, 0.1429
1280, 2.1684, 0.7379, 0.4785, 0.2499, 0.1317
1300, 2.1682, 0.7783, 0.5160, 0.2842, 0.1460
1320, 2.1680, 0.7535, 0.4889, 0.2586, 0.1303
1340, 2.1676, 0.7500, 0.4780, 0.2531, 0.1332
1360, 2.1675, 0.7444, 0.4839, 0.2526, 0.1270
1380, 2.1673, 0.7589, 0.4914, 0.2653, 0.1395
1400, 2.1669, 0.7408, 0.4749, 0.2548, 0.1315
1420, 2.1668, 0.7521, 0.4888, 0.2580, 0.1333
1440, 2.1668, 0.7614, 0.4952, 0.2698, 0.1431
1460, 2.1666, 0.7601, 0.4950, 0.2695, 0.1438
1480, 2.1664, 0.7686, 0.4974, 0.2744, 0.1419
1500, 2.1663, 0.7485, 0.4814, 0.2636, 0.1384
1520, 2.1662, 0.7324, 0.4641, 0.2445, 0.1251
1540, 2.1663, 0.7512, 0.4948, 0.2726, 0.1417
1560, 2.1663, 0.7594, 0.4958, 0.2746, 0.1493
1580, 2.1661, 0.7499, 0.4828, 0.2600, 0.1337
1600, 2.1659, 0.7762, 0.5106, 0.2808, 0.1511
1620, 2.1658, 0.7726, 0.4989, 0.2661, 0.1360
1640, 2.1655, 0.7555, 0.4808, 0.2554, 0.1339
1660, 2.1653, 0.7605, 0.4824, 0.2621, 0.1323
1680, 2.1652, 0.7387, 0.4677, 0.2397, 0.1269
1700, 2.1650, 0.7624, 0.4952, 0.2749, 0.1417
1720, 2.1650, 0.7361, 0.4673, 0.2507, 0.1287
1740, 2.1650, 0.7472, 0.4869, 0.2671, 0.1397
1760, 2.1650, 0.7649, 0.4914, 0.2656, 0.1386
